Hour,Heating Load (kW)
1,42.42460320232253
2,43.46460880899264
3,45.25095285769693
4,46.40618580493903
5,49.56466150379778
6,50.81045189933925
7,50.8691969753226
8,51.641052376078235
9,53.34636919347635
10,52.402518780056376
11,47.38480112694635
12,44.21671999683891
13,40.08577277367223
14,37.73651289720814
15,38.001186015798346
16,37.954313909109146
17,37.56055503542864
18,37.74208306975774
19,38.739053756334044
20,39.23151438767651
21,40.548582741863335
22,42.399015332104845
23,43.45573473136684
24,43.65920503426833
25,44.321541036923115
26,44.67432094549821
27,46.23367690630429
28,46.10897128167825
29,45.90167695992127
30,44.39562205730913
31,43.81698371355789
32,43.05180587104775
33,42.504344138118135
34,41.50149047366961
35,41.183559606453066
36,39.331850516583415
37,38.66738691084804
38,38.20576024189505
39,39.617503365489334
40,39.37603928046956
41,38.91587287827757
42,39.56968356723771
43,39.61570544917743
44,39.69276449694138
45,39.55771375196523
46,39.901631117516374
47,39.89948390429525
48,39.1621423156147
49,40.03399433004766
50,41.46983711934968
51,42.3725456172147
52,41.56573515783711
53,41.635241862518555
54,41.50114171544452
55,41.83045322023743
56,42.04000810785591
57,42.358216600503496
58,41.23076746793146
59,40.005741466068706
60,38.31527534935668
61,36.62300549284619
62,35.330791161083745
63,34.580280985184146
64,36.89983134344955
65,37.07581466331109
66,37.35274609914496
67,37.35745234705183
68,37.62055811751698
69,36.9796874958995
70,36.772564879447806
71,36.736462638551124
72,36.669238884009744
73,37.535540928164465
74,37.6194399393225
75,37.74710830968488
76,37.70687501899872
77,38.41582173514769
78,38.243436941079366
79,38.8690709614919
80,39.59677796128661
81,39.85296567538963
82,39.96841667415146
83,39.357159040355626
84,37.81876620327662
85,35.55136861179277
86,34.956481076261056
87,34.48292776908815
88,33.89477359336641
89,34.358657847850615
90,35.52449662316457
91,37.03998400628416
92,39.223052620774816
93,43.60074742650049
94,44.911178970355856
95,44.454617215199775
96,44.976136439202655
97,45.830718511107094
98,47.38886652314501
99,47.253162585982054
100,46.72489134482826
101,46.040057378021366
102,45.66201582368993
103,44.99166442962229
104,44.80731586813722
105,44.08679792936166
106,43.4329244933064
107,42.66437942192495
108,41.95225148402698
109,39.06368654278658
110,37.70707775374264
111,36.6713045026758
112,36.289073552423226
113,35.892443176634266
114,36.13723416667927
115,37.37111336770737
116,37.43628352188561
117,38.286295854826896
118,38.91229354070777
119,39.6161624017153
120,39.92076737207334
121,40.99871655550698
122,42.38466849665035
123,44.45671798228099
124,45.63550810862379
125,45.92497520059665
126,45.479770953727595
127,45.633533593456534
128,46.0664344719237
129,47.092924039627015
130,47.407735169758865
131,46.980144682545045
132,46.10061723927625
133,43.064822215545526
134,42.605377350541374
135,43.578838098281786
136,44.143538606670695
137,46.19781083598174
138,47.59188874154044
139,49.10268532088552
140,50.214684813988356
141,50.34515647619501
142,49.485985848752485
143,48.939023980058124
144,49.59643762033913
145,51.88655481034922
146,52.8144852793114
147,51.898489604001426
148,52.519099185859595
149,52.20231409015146
150,52.6642187179288
151,52.935150690817395
152,52.87494601689938
153,51.455699934567654
154,52.12823387144312
155,51.83709411534802
156,51.530085698010055
157,49.537813976184886
158,48.2446952129904
159,49.80725170769124
160,49.91084065408054
161,49.50343237499177
162,51.16595018772398
163,52.32006171192254
164,52.70113758690938
165,53.124860556360154
166,54.10809008333247
167,53.97885532205821
168,53.59721039948592
169,53.32477573525475
170,53.239243274631754
171,54.032465976602914
172,53.629825955757155
173,52.6612997073035
174,51.92371581243723
175,51.49558021644548
176,51.522711235204575
177,51.84951692236989
178,52.3788570003594
179,52.87926899597934
