Hour,Load (kW)
1,4.6075
2,4.3425
3,4.3175
4,4.375
5,4.1875
6,4.045
7,4.3325
8,4.1175
9,4.09
10,3.9725
11,4.4075
12,3.96
13,3.725
14,3.7325
15,3.79
16,3.7975
17,3.83
18,3.72
19,3.945
20,3.995
21,4.6025
22,4.235
23,4.275
24,4.345
25,4.2225
26,4.4
27,4.355
28,4.06
29,4.11
30,4.2
31,4.5825
32,6.4175
33,7.7125
34,7.4425
35,7.42
36,7.9875
37,7.2525
38,7.2375
39,7.5975
40,7.38
41,6.39
42,5.49
43,4.715
44,4.91
45,5.135
46,5.0775
47,6.2475
48,5.2375
49,5.4375
50,4.79
51,4.41
52,4.41
53,4.4175
54,4.3475
55,4.4675
56,5.9625
57,7.6025
58,7.895
59,8.95
60,7.99
61,7.12
62,7.6325
63,7.69
64,7.5175
65,8.105
66,7.105
67,7.3675
68,6.7825
69,6.1775
70,7.86
71,7.27
72,6.5575
73,6.82
74,6.6975
75,6.1475
76,6.4875
77,6.0375
78,6.245
79,6.38
80,6.905
81,7.7775
82,7.435
83,6.2475
84,6.8475
85,7.255
86,7.3325
87,5.965
88,5.7075
89,5.5475
90,5.2725
91,6.0775
92,5.545
93,5.285
94,5.245
95,5.7475
96,5.27
97,5.2375
98,4.97
99,4.7575
100,4.81
101,4.82
102,4.9625
103,4.6875
104,5.98
105,7.1625
106,7.7575
107,6.995
108,8.1175
109,7.465
110,7.515
111,6.98
112,7.62
113,6.6175
114,5.16
115,6.095
116,5.9675
117,5.5075
118,5.3025
119,4.8575
120,5.04
121,4.54
122,4.615
123,4.6125
124,4.92
125,4.66
126,4.9875
127,4.7875
128,4.71
129,4.885
130,4.6075
131,4.995
132,5.1525
133,4.8225
134,4.52
135,4.3225
136,4.5725
137,6.0325
138,6.535
139,6.0225
140,5.9775
141,6.205
142,5.53
143,5.055
144,4.9175
145,5.0925
146,4.88
147,4.9725
148,4.995
149,4.775
150,4.5575
151,4.6725
152,4.69
153,5.355
154,6.49
155,5.43
156,4.9
157,4.8175
158,4.765
159,4.555
160,4.5775
161,4.4075
162,4.8575
163,4.5625
164,4.495
165,4.65
166,4.885
167,4.74
168,4.9525
169,4.885
170,4.8875
171,5.095
172,5.0025
173,5.1325
174,4.5475
175,4.63
176,5.145
177,7.88
178,8.7175
179,8.225
180,8.2425
181,8.7825
182,8.1225
183,8.3925
184,8.8075
185,7.805
186,5.52
187,4.5675
188,4.6775
189,4.465
190,4.5975
191,4.7425
192,4.8475
193,4.4925
194,4.14
195,3.875
196,3.7775
197,3.7675
198,3.8375
199,4.1
200,4.265
201,7.815
202,7.83
203,8.03
204,7.6425
205,7.78
206,7.9975
207,7.6675
208,8.2725
209,7.7625
210,5.4475
211,4.6925
212,4.4325
213,4.4325
214,4.485
215,4.895
216,5.87
217,4.82
218,4.8
219,4.86
220,4.585
221,4.8775
222,5.2975
223,4.9975
224,6.78
225,7.645
226,7.8925
227,8.725
228,7.99
229,7.9225
230,5.7675
231,5.5275
232,5.535
233,5.9025
234,5.65
235,5.2225
236,4.6425
237,4.3025
238,4.4425
239,4.395
240,4.3925
241,5.085
242,4.735
243,5.1075
244,4.6575
245,4.5625
246,4.5425
247,4.4525
248,6.1675
249,7.215
250,7.3875
251,7.37
252,6.77
253,6.7075
254,6.5675
255,7.315
256,7.9025
257,6.2575
258,4.245
259,4.66
260,4.3175
261,4.19
262,4.4475
263,4.395
264,4.35
265,4.9725
266,4.3075
267,4.495
268,4.365
269,4.665
270,4.3375
271,5.0775
272,6.075
273,7.76
274,8.385
275,7.605
276,7.505
277,7.0475
278,8.03
279,7.5475
280,8.54
281,8.2825
282,6.335
283,5.265
284,4.895
285,4.9575
286,5.4925
287,5.0325
288,5.17
